UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,EFYGUKN
222822,19,-2,1,R,387,R,128,R,259,R,1,R,0,R,1,R,5,R,2,R,3,R,82,R,21,R,61,R,66,R,19,R,47,R,0,R,0,Z,0,R,219,R,79,R,140,R,11,R,6,R,5,R,0,R,0,Z,0,R,3,R,1,R,2,2020,,,,,,,,,
222822,20,-2,1,R,2429,R,709,R,1720,R,16,R,3,R,13,R,19,R,4,R,15,R,375,R,90,R,285,R,748,R,243,R,505,R,4,R,2,R,2,R,1191,R,337,R,854,R,56,R,21,R,35,R,12,R,5,R,7,R,8,R,4,R,4,2020,,,,,,,,,
222822,22,-2,1,R,1195,R,461,R,734,R,1,R,0,R,1,R,9,R,1,R,8,R,137,R,51,R,86,R,396,R,160,R,236,R,1,R,0,R,1,R,585,R,215,R,370,R,44,R,21,R,23,R,1,R,0,R,1,R,21,R,13,R,8,2020,,,,,,,,,
222822,23,-2,1,R,1021,R,399,R,622,R,0,R,0,R,0,R,6,R,1,R,5,R,124,R,46,R,78,R,345,R,143,R,202,R,1,R,0,R,1,R,489,R,179,R,310,R,37,R,18,R,19,R,1,R,0,R,1,R,18,R,12,R,6,2020,,,,,,,,,
222822,24,-2,1,R,350,R,160,R,190,R,0,R,0,Z,0,R,2,R,0,R,2,R,42,R,21,R,21,R,141,R,67,R,74,R,1,R,0,R,1,R,142,R,59,R,83,R,8,R,2,R,6,R,0,R,0,Z,0,R,14,R,11,R,3,2020,,,,,,,,,
222822,25,-2,1,R,671,R,239,R,432,R,0,R,0,R,0,R,4,R,1,R,3,R,82,R,25,R,57,R,204,R,76,R,128,R,0,R,0,R,0,R,347,R,120,R,227,R,29,R,16,R,13,R,1,R,0,R,1,R,4,R,1,R,3,2020,,,,,,,,,
222822,31,-2,1,R,174,R,62,R,112,R,1,R,0,R,1,R,3,R,0,R,3,R,13,R,5,R,8,R,51,R,17,R,34,R,0,R,0,R,0,R,96,R,36,R,60,R,7,R,3,R,4,R,0,R,0,R,0,R,3,R,1,R,2,2020,,,,,,,,,
222822,39,-2,1,R,93,R,40,R,53,R,0,R,0,Z,0,R,1,R,1,Z,0,R,16,R,2,R,14,R,18,R,8,R,10,R,0,R,0,Z,0,R,53,R,27,R,26,R,4,R,2,R,2,R,0,R,0,Z,0,R,1,R,0,R,1,2020,,,,,,,,,
222822,40,-2,1,R,578,R,199,R,379,R,0,R,0,R,0,R,3,R,0,R,3,R,66,R,23,R,43,R,186,R,68,R,118,R,0,R,0,R,0,R,294,R,93,R,201,R,25,R,14,R,11,R,1,R,0,R,1,R,3,R,1,R,2,2020,,,,,,,,,
222822,42,-2,1,R,4749,R,1605,R,3144,R,35,R,8,R,27,R,50,R,18,R,32,R,689,R,177,R,512,R,1373,R,509,R,864,R,8,R,5,R,3,R,2407,R,813,R,1594,R,115,R,41,R,74,R,37,R,17,R,20,R,35,R,17,R,18,2020,,,,,,,,,
222822,43,-2,1,R,2853,R,851,R,2002,R,26,R,6,R,20,R,24,R,7,R,17,R,480,R,113,R,367,R,840,R,277,R,563,R,4,R,2,R,2,R,1390,R,414,R,976,R,54,R,17,R,37,R,12,R,5,R,7,R,23,R,10,R,13,2020,,,,,,,,,
222822,44,-2,1,R,708,R,253,R,455,R,9,R,3,R,6,R,4,R,2,R,2,R,105,R,27,R,78,R,230,R,91,R,139,Z,0,Z,0,Z,0,R,327,R,118,R,209,R,16,R,6,R,10,R,1,Z,0,R,1,R,16,R,6,R,10,2020,,,,,,,,,
222822,45,-2,1,R,2145,R,598,R,1547,R,17,R,3,R,14,R,20,R,5,R,15,R,375,R,86,R,289,R,610,R,186,R,424,R,4,R,2,R,2,R,1063,R,296,R,767,R,38,R,11,R,27,R,11,R,5,R,6,R,7,R,4,R,3,2020,,,,,,,,,
222822,51,-2,1,R,1896,R,754,R,1142,R,9,R,2,R,7,R,26,R,11,R,15,R,209,R,64,R,145,R,533,R,232,R,301,R,4,R,3,R,1,R,1017,R,399,R,618,R,61,R,24,R,37,R,25,R,12,R,13,R,12,R,7,R,5,2020,,,,,,,,,
222822,59,-2,1,R,294,R,88,R,206,R,1,Z,0,R,1,R,4,R,1,R,3,R,66,R,19,R,47,R,48,R,11,R,37,Z,0,Z,0,Z,0,R,166,R,52,R,114,R,7,R,4,R,3,Z,0,Z,0,Z,0,R,2,R,1,R,1,2020,,,,,,,,,
222822,60,-2,1,R,1851,R,510,R,1341,R,16,R,3,R,13,R,16,R,4,R,12,R,309,R,67,R,242,R,562,R,175,R,387,R,4,R,2,R,2,R,897,R,244,R,653,R,31,R,7,R,24,R,11,R,5,R,6,R,5,R,3,R,2,2020,,,,,,,,,
222831,1,1,999,R,12030,R,4812,R,7218,R,38,R,14,R,24,R,179,R,70,R,109,R,731,R,339,R,392,R,4284,R,1606,R,2678,R,14,R,8,R,6,R,6014,R,2449,R,3565,R,405,R,172,R,233,R,43,R,14,R,29,R,322,R,140,R,182,2020,,,,,,,,,
222831,2,2,1,R,9962,R,4105,R,5857,R,31,R,11,R,20,R,142,R,52,R,90,R,533,R,273,R,260,R,3780,R,1443,R,2337,R,12,R,7,R,5,R,4790,R,2037,R,2753,R,351,R,149,R,202,R,27,R,5,R,22,R,296,R,128,R,168,2020,,,,,,,,,
222831,3,-2,1,R,6453,R,2844,R,3609,R,24,R,11,R,13,R,60,R,25,R,35,R,455,R,250,R,205,R,2489,R,1005,R,1484,R,7,R,6,R,1,R,2989,R,1334,R,1655,R,207,R,98,R,109,R,6,R,1,R,5,R,216,R,114,R,102,2020,,,,,,,,,
222831,4,-2,1,R,1509,R,650,R,859,R,2,R,1,R,1,R,18,R,6,R,12,R,105,R,57,R,48,R,635,R,256,R,379,Z,0,Z,0,Z,0,R,668,R,280,R,388,R,42,R,25,R,17,Z,0,Z,0,Z,0,R,39,R,25,R,14,2020,,,,,,,,,
222831,5,-2,1,R,4944,R,2194,R,2750,R,22,R,10,R,12,R,42,R,19,R,23,R,350,R,193,R,157,R,1854,R,749,R,1105,R,7,R,6,R,1,R,2321,R,1054,R,1267,R,165,R,73,R,92,R,6,R,1,R,5,R,177,R,89,R,88,2020,,,,,,,,,
222831,11,-2,1,R,3509,R,1261,R,2248,R,7,R,0,R,7,R,82,R,27,R,55,R,78,R,23,R,55,R,1291,R,438,R,853,R,5,R,1,R,4,R,1801,R,703,R,1098,R,144,R,51,R,93,R,21,R,4,R,17,R,80,R,14,R,66,2020,,,,,,,,,
222831,12,4,3,R,2068,R,707,R,1361,R,7,R,3,R,4,R,37,R,18,R,19,R,198,R,66,R,132,R,504,R,163,R,341,R,2,R,1,R,1,R,1224,R,412,R,812,R,54,R,23,R,31,R,16,R,9,R,7,R,26,R,12,R,14,2020,,,,,,,,,
222831,19,-2,1,R,634,R,300,R,334,R,3,R,2,R,1,R,8,R,5,R,3,R,45,R,25,R,20,R,224,R,93,R,131,R,3,R,2,R,1,R,311,R,150,R,161,R,21,R,13,R,8,R,1,Z,0,R,1,R,18,R,10,R,8,2020,,,,,,,,,
222831,20,-2,1,R,4310,R,1894,R,2416,R,19,R,8,R,11,R,34,R,14,R,20,R,305,R,168,R,137,R,1630,R,656,R,974,R,4,R,4,Z,0,R,2010,R,904,R,1106,R,144,R,60,R,84,R,5,R,1,R,4,R,159,R,79,R,80,2020,,,,,,,,,
222831,22,-2,1,R,5825,R,2523,R,3302,R,20,R,8,R,12,R,55,R,21,R,34,R,411,R,226,R,185,R,2188,R,890,R,1298,R,7,R,6,R,1,R,2665,R,1158,R,1507,R,187,R,88,R,99,R,4,Z,0,R,4,R,288,R,126,R,162,2020,,,,,,,,,
222831,23,-2,1,R,5649,R,2474,R,3175,R,20,R,8,R,12,R,54,R,20,R,34,R,409,R,224,R,185,R,2166,R,880,R,1286,R,7,R,6,R,1,R,2597,R,1137,R,1460,R,184,R,87,R,97,R,4,Z,0,R,4,R,208,R,112,R,96,2020,,,,,,,,,
222831,24,-2,1,R,1473,R,639,R,834,R,2,R,1,R,1,R,17,R,5,R,12,R,104,R,57,R,47,R,623,R,253,R,370,Z,0,Z,0,Z,0,R,647,R,273,R,374,R,42,R,25,R,17,Z,0,Z,0,Z,0,R,38,R,25,R,13,2020,,,,,,,,,
