UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR
228644,20,-2,1,R,537,R,177,R,360,R,1,R,1,R,0,R,47,R,14,R,33,R,20,R,9,R,11,R,280,R,89,R,191,R,0,R,0,R,0,R,167,R,59,R,108,R,13,R,3,R,10,R,2,R,1,R,1,R,7,R,1,R,6,2021
228644,22,-2,1,R,1018,R,302,R,716,R,1,R,1,R,0,R,82,R,23,R,59,R,47,R,14,R,33,R,550,R,155,R,395,R,1,R,1,R,0,R,285,R,93,R,192,R,23,R,5,R,18,R,8,R,4,R,4,R,21,R,6,R,15,2021
228644,23,-2,1,R,1018,R,302,R,716,R,1,R,1,R,0,R,82,R,23,R,59,R,47,R,14,R,33,R,550,R,155,R,395,R,1,R,1,R,0,R,285,R,93,R,192,R,23,R,5,R,18,R,8,R,4,R,4,R,21,R,6,R,15,2021
228644,25,-2,1,R,1018,R,302,R,716,R,1,R,1,R,0,R,82,R,23,R,59,R,47,R,14,R,33,R,550,R,155,R,395,R,1,R,1,R,0,R,285,R,93,R,192,R,23,R,5,R,18,R,8,R,4,R,4,R,21,R,6,R,15,2021
228644,39,-2,1,R,554,R,169,R,385,R,0,R,0,R,0,R,42,R,11,R,31,R,29,R,7,R,22,R,295,R,81,R,214,R,1,R,1,R,0,R,151,R,57,R,94,R,15,R,3,R,12,R,7,R,4,R,3,R,14,R,5,R,9,2021
228644,40,-2,1,R,464,R,133,R,331,R,1,R,1,R,0,R,40,R,12,R,28,R,18,R,7,R,11,R,255,R,74,R,181,R,0,R,0,R,0,R,134,R,36,R,98,R,8,R,2,R,6,R,1,R,0,R,1,R,7,R,1,R,6,2021
228644,42,-2,1,R,178,R,121,R,57,R,1,R,1,R,0,R,13,R,5,R,8,R,5,R,5,R,0,R,74,R,51,R,23,R,0,R,0,R,0,R,76,R,55,R,21,R,7,R,2,R,5,R,2,R,2,R,0,R,0,R,0,R,0,2021
228644,43,-2,1,R,178,R,121,R,57,R,1,R,1,R,0,R,13,R,5,R,8,R,5,R,5,R,0,R,74,R,51,R,23,R,0,R,0,R,0,R,76,R,55,R,21,R,7,R,2,R,5,R,2,R,2,R,0,R,0,R,0,R,0,2021
228644,45,-2,1,R,178,R,121,R,57,R,1,R,1,R,0,R,13,R,5,R,8,R,5,R,5,R,0,R,74,R,51,R,23,R,0,R,0,R,0,R,76,R,55,R,21,R,7,R,2,R,5,R,2,R,2,R,0,R,0,R,0,R,0,2021
228644,59,-2,1,R,105,R,77,R,28,R,1,R,1,R,0,R,6,R,3,R,3,R,3,R,3,R,0,R,49,R,36,R,13,R,0,R,0,R,0,R,43,R,32,R,11,R,2,R,1,R,1,R,1,R,1,R,0,R,0,R,0,R,0,2021
228644,60,-2,1,R,73,R,44,R,29,R,0,R,0,R,0,R,7,R,2,R,5,R,2,R,2,R,0,R,25,R,15,R,10,R,0,R,0,R,0,R,33,R,23,R,10,R,5,R,1,R,4,R,1,R,1,R,0,R,0,R,0,R,0,2021
228653,1,1,999,R,3940,R,1115,R,2825,R,6,R,1,R,5,R,787,R,263,R,524,R,344,R,71,R,273,R,783,R,227,R,556,R,6,R,3,R,3,R,1734,R,450,R,1284,R,110,R,36,R,74,R,94,R,38,R,56,R,76,R,26,R,50,2021
228653,2,2,1,R,951,R,159,R,792,Z,0,Z,0,Z,0,R,202,R,50,R,152,R,71,R,17,R,54,R,237,R,41,R,196,R,1,R,1,Z,0,R,394,R,46,R,348,R,27,R,1,R,26,R,6,R,1,R,5,R,13,R,2,R,11,2021
228653,3,-2,1,R,951,R,159,R,792,Z,0,Z,0,Z,0,R,202,R,50,R,152,R,71,R,17,R,54,R,237,R,41,R,196,R,1,R,1,Z,0,R,394,R,46,R,348,R,27,R,1,R,26,R,6,R,1,R,5,R,13,R,2,R,11,2021
228653,5,-2,1,R,951,R,159,R,792,Z,0,Z,0,Z,0,R,202,R,50,R,152,R,71,R,17,R,54,R,237,R,41,R,196,R,1,R,1,Z,0,R,394,R,46,R,348,R,27,R,1,R,26,R,6,R,1,R,5,R,13,R,2,R,11,2021
228653,12,4,3,R,2989,R,956,R,2033,R,6,R,1,R,5,R,585,R,213,R,372,R,273,R,54,R,219,R,546,R,186,R,360,R,5,R,2,R,3,R,1340,R,404,R,936,R,83,R,35,R,48,R,88,R,37,R,51,R,63,R,24,R,39,2021
228653,19,-2,1,R,471,R,77,R,394,Z,0,Z,0,Z,0,R,97,R,23,R,74,R,38,R,9,R,29,R,138,R,23,R,115,R,1,R,1,Z,0,R,178,R,19,R,159,R,12,Z,0,R,12,R,2,Z,0,R,2,R,5,R,2,R,3,2021
228653,20,-2,1,R,480,R,82,R,398,Z,0,Z,0,Z,0,R,105,R,27,R,78,R,33,R,8,R,25,R,99,R,18,R,81,Z,0,Z,0,Z,0,R,216,R,27,R,189,R,15,R,1,R,14,R,4,R,1,R,3,R,8,Z,0,R,8,2021
228653,22,-2,1,R,951,R,159,R,792,Z,0,Z,0,Z,0,R,202,R,50,R,152,R,71,R,17,R,54,R,237,R,41,R,196,R,1,R,1,Z,0,R,394,R,46,R,348,R,27,R,1,R,26,R,6,R,1,R,5,R,13,R,2,R,11,2021
228653,23,-2,1,R,951,R,159,R,792,Z,0,Z,0,Z,0,R,202,R,50,R,152,R,71,R,17,R,54,R,237,R,41,R,196,R,1,R,1,Z,0,R,394,R,46,R,348,R,27,R,1,R,26,R,6,R,1,R,5,R,13,R,2,R,11,2021
228653,25,-2,1,R,951,R,159,R,792,Z,0,Z,0,Z,0,R,202,R,50,R,152,R,71,R,17,R,54,R,237,R,41,R,196,R,1,R,1,Z,0,R,394,R,46,R,348,R,27,R,1,R,26,R,6,R,1,R,5,R,13,R,2,R,11,2021
228653,39,-2,1,R,471,R,77,R,394,Z,0,Z,0,Z,0,R,97,R,23,R,74,R,38,R,9,R,29,R,138,R,23,R,115,R,1,R,1,Z,0,R,178,R,19,R,159,R,12,Z,0,R,12,R,2,Z,0,R,2,R,5,R,2,R,3,2021
228653,40,-2,1,R,480,R,82,R,398,Z,0,Z,0,Z,0,R,105,R,27,R,78,R,33,R,8,R,25,R,99,R,18,R,81,Z,0,Z,0,Z,0,R,216,R,27,R,189,R,15,R,1,R,14,R,4,R,1,R,3,R,8,Z,0,R,8,2021
228699,1,1,999,R,5167,R,1860,R,3307,R,41,R,18,R,23,R,65,R,26,R,39,R,1217,R,339,R,878,R,414,R,172,R,242,R,1,R,1,R,0,R,3103,R,1191,R,1912,R,230,R,72,R,158,R,47,R,22,R,25,R,49,R,19,R,30,2021
228699,2,2,1,R,5167,R,1860,R,3307,R,41,R,18,R,23,R,65,R,26,R,39,R,1217,R,339,R,878,R,414,R,172,R,242,R,1,R,1,R,0,R,3103,R,1191,R,1912,R,230,R,72,R,158,R,47,R,22,R,25,R,49,R,19,R,30,2021
228699,3,-2,1,R,2915,R,947,R,1968,R,22,R,11,R,11,R,23,R,9,R,14,R,903,R,238,R,665,R,214,R,88,R,126,R,0,R,0,R,0,R,1589,R,549,R,1040,R,110,R,30,R,80,R,26,R,12,R,14,R,28,R,10,R,18,2021
228699,4,-2,1,R,622,R,254,R,368,R,7,R,5,R,2,R,5,R,4,R,1,R,178,R,67,R,111,R,56,R,25,R,31,R,0,R,0,R,0,R,341,R,137,R,204,R,28,R,14,R,14,R,3,R,1,R,2,R,4,R,1,R,3,2021
228699,5,-2,1,R,2293,R,693,R,1600,R,15,R,6,R,9,R,18,R,5,R,13,R,725,R,171,R,554,R,158,R,63,R,95,R,0,R,0,R,0,R,1248,R,412,R,836,R,82,R,16,R,66,R,23,R,11,R,12,R,24,R,9,R,15,2021
228699,11,-2,1,R,2252,R,913,R,1339,R,19,R,7,R,12,R,42,R,17,R,25,R,314,R,101,R,213,R,200,R,84,R,116,R,1,R,1,R,0,R,1514,R,642,R,872,R,120,R,42,R,78,R,21,R,10,R,11,R,21,R,9,R,12,2021
228699,19,-2,1,R,191,R,56,R,135,R,2,R,0,R,2,R,3,R,1,R,2,R,59,R,12,R,47,R,13,R,4,R,9,R,0,R,0,R,0,R,104,R,36,R,68,R,6,R,1,R,5,R,2,R,1,R,1,R,2,R,1,R,1,2021
