UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN,YEAR
222822,2,2,1,R,5388,R,1872,R,3516,R,35,R,12,R,23,R,58,R,21,R,37,R,780,R,228,R,552,R,1638,R,606,R,1032,R,1,R,0,R,1,R,2522,R,879,R,1643,R,138,R,44,R,94,R,118,R,42,R,76,R,98,R,40,R,58,R,0.0,A,,R,0.0,R,5388.0,2023
222822,3,-2,1,R,3364,R,1060,R,2304,R,30,R,11,R,19,R,26,R,9,R,17,R,537,R,135,R,402,R,1018,R,363,R,655,R,1,R,0,R,1,R,1546,R,467,R,1079,R,84,R,24,R,60,R,41,R,16,R,25,R,81,R,35,R,46,A,,A,,A,,A,,2023
222822,4,-2,1,R,1010,R,376,R,634,R,8,R,3,R,5,R,7,R,2,R,5,R,140,R,49,R,91,R,332,R,137,R,195,R,0,R,0,R,0,R,443,R,156,R,287,R,29,R,7,R,22,R,22,R,7,R,15,R,29,R,15,R,14,A,,A,,A,,A,,2023
222822,5,-2,1,R,2354,R,684,R,1670,R,22,R,8,R,14,R,19,R,7,R,12,R,397,R,86,R,311,R,686,R,226,R,460,R,1,R,0,R,1,R,1103,R,311,R,792,R,55,R,17,R,38,R,19,R,9,R,10,R,52,R,20,R,32,A,,A,,A,,A,,2023
222822,11,-2,1,R,2024,R,812,R,1212,R,5,R,1,R,4,R,32,R,12,R,20,R,243,R,93,R,150,R,620,R,243,R,377,R,0,R,0,R,0,R,976,R,412,R,564,R,54,R,20,R,34,R,77,R,26,R,51,R,17,R,5,R,12,A,,A,,A,,A,,2023
222822,19,-2,1,R,280,R,98,R,182,R,3,R,1,R,2,R,4,R,2,R,2,R,42,R,13,R,29,R,51,R,14,R,37,R,0,R,0,R,0,R,164,R,59,R,105,R,8,R,3,R,5,R,2,R,1,R,1,R,6,R,5,R,1,A,,A,,A,,A,,2023
222822,20,-2,1,R,2074,R,586,R,1488,R,19,R,7,R,12,R,15,R,5,R,10,R,355,R,73,R,282,R,635,R,212,R,423,R,1,R,0,R,1,R,939,R,252,R,687,R,47,R,14,R,33,R,17,R,8,R,9,R,46,R,15,R,31,A,,A,,A,,A,,2023
222822,21,-2,999,R,1612,R,563,R,1049,R,9,R,4,R,5,R,8,R,4,R,4,R,215,R,63,R,152,R,527,R,203,R,324,R,0,R,0,R,0,R,737,R,246,R,491,R,38,R,9,R,29,R,23,R,7,R,16,R,55,R,27,R,28,A,,A,,A,,A,,2023
222822,22,-2,1,R,1612,R,563,R,1049,R,9,R,4,R,5,R,8,R,4,R,4,R,215,R,63,R,152,R,527,R,203,R,324,R,0,R,0,R,0,R,737,R,246,R,491,R,38,R,9,R,29,R,23,R,7,R,16,R,55,R,27,R,28,A,,A,,A,,A,,2023
222822,23,-2,1,R,1498,R,511,R,987,R,9,R,4,R,5,R,6,R,3,R,3,R,207,R,61,R,146,R,484,R,186,R,298,R,0,R,0,R,0,R,683,R,215,R,468,R,36,R,8,R,28,R,20,R,7,R,13,R,53,R,27,R,26,A,,A,,A,,A,,2023
