UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR ,YEAR
229832,R,157.0,R,568.0,R,28.0,R,142.0,R,0.0,R,0.0,R,142.0,R,95.0,R,67.0,R,38.0,R,0.0,R,0.0,R,38.0,R,14.0,R,37.0,R,20.0,2022
229841,R,1064.0,R,2145.0,R,50.0,R,1032.0,Z,0.0,Z,0.0,R,1032.0,R,750.0,R,73.0,R,274.0,Z,0.0,Z,0.0,R,274.0,R,124.0,R,45.0,R,17.0,2022
246354,R,817.0,R,2726.0,R,30.0,R,583.0,R,0.0,R,0.0,R,583.0,R,207.0,R,36.0,R,1199.0,R,0.0,R,0.0,R,1199.0,R,493.0,R,41.0,R,28.0,2022
247834,R,3484.0,R,13334.0,R,26.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,21.0,2022
382911,R,12.0,R,17.0,R,71.0,R,10.0,R,0.0,R,0.0,R,10.0,R,8.0,R,80.0,Z,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,7.0,2022
409315,R,2116.0,R,7585.0,R,28.0,R,54.0,R,0.0,R,0.0,R,54.0,R,34.0,R,63.0,R,58.0,R,0.0,R,0.0,R,58.0,R,26.0,R,45.0,R,22.0,2022
416801,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,9.0,2022
420398,R,1544.0,R,4240.0,R,36.0,R,1059.0,R,0.0,R,0.0,R,1059.0,R,566.0,R,53.0,R,1655.0,R,0.0,R,0.0,R,1655.0,R,855.0,R,52.0,R,29.0,2022
441760,R,422.0,R,2012.0,R,21.0,R,364.0,Z,0.0,Z,0.0,R,364.0,R,211.0,R,58.0,R,238.0,Z,0.0,Z,0.0,R,238.0,R,114.0,R,48.0,R,20.0,2022
459949,R,980.0,R,1810.0,R,54.0,R,936.0,R,0.0,R,0.0,R,936.0,R,670.0,R,72.0,R,122.0,R,0.0,R,0.0,R,122.0,R,38.0,R,31.0,R,18.0,2022
483036,R,13.0,R,436.0,R,3.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15.0,2022
484905,R,284.0,R,852.0,R,33.0,R,291.0,R,0.0,R,0.0,R,291.0,R,198.0,R,68.0,R,75.0,R,0.0,R,0.0,R,75.0,R,32.0,R,43.0,R,16.0,2022
487320,R,1703.0,R,3240.0,R,53.0,R,1779.0,R,6.0,R,0.0,R,1773.0,R,971.0,R,55.0,R,565.0,R,5.0,R,0.0,R,560.0,R,266.0,R,48.0,R,13.0,2022
488730,R,743.0,R,1984.0,R,37.0,R,530.0,R,0.0,R,0.0,R,530.0,R,192.0,R,36.0,R,771.0,R,0.0,R,0.0,R,771.0,R,412.0,R,53.0,R,34.0,2022
492689,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,13.0,2022
