UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,YEAR
222576,31,-2,1,R,209,R,73,R,136,R,3,Z,0,R,3,R,6,R,2,R,4,R,3,R,1,R,2,R,55,R,21,R,34,Z,0,Z,0,Z,0,R,135,R,45,R,90,R,6,R,3,R,3,R,1,R,1,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,39,-2,1,R,90,R,33,R,57,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,4,R,1,R,3,R,23,R,9,R,14,Z,0,Z,0,Z,0,R,55,R,20,R,35,R,5,R,2,R,3,R,2,Z,0,R,2,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,40,-2,1,R,2919,R,1046,R,1873,R,27,R,8,R,19,R,95,R,38,R,57,R,218,R,88,R,130,R,1327,R,475,R,852,R,5,R,3,R,2,R,1145,R,401,R,744,R,84,R,28,R,56,R,18,R,5,R,13,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,41,-2,999,R,7701,R,2621,R,5080,R,52,R,21,R,31,R,223,R,84,R,139,R,462,R,161,R,301,R,3416,R,1093,R,2323,R,2,Z,0,R,2,R,3241,R,1150,R,2091,R,223,R,78,R,145,R,82,R,34,R,48,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,42,-2,1,R,7701,R,2621,R,5080,R,52,R,21,R,31,R,223,R,84,R,139,R,462,R,161,R,301,R,3416,R,1093,R,2323,R,2,Z,0,R,2,R,3241,R,1150,R,2091,R,223,R,78,R,145,R,82,R,34,R,48,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,43,-2,1,R,5493,R,1717,R,3776,R,35,R,14,R,21,R,139,R,53,R,86,R,402,R,138,R,264,R,2629,R,778,R,1851,R,2,Z,0,R,2,R,2087,R,666,R,1421,R,144,R,42,R,102,R,55,R,26,R,29,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,44,-2,1,R,704,R,276,R,428,R,8,R,3,R,5,R,15,R,7,R,8,R,62,R,29,R,33,R,344,R,116,R,228,Z,0,Z,0,Z,0,R,241,R,104,R,137,R,24,R,12,R,12,R,10,R,5,R,5,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,45,-2,1,R,4789,R,1441,R,3348,R,27,R,11,R,16,R,124,R,46,R,78,R,340,R,109,R,231,R,2285,R,662,R,1623,R,2,Z,0,R,2,R,1846,R,562,R,1284,R,120,R,30,R,90,R,45,R,21,R,24,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,51,-2,1,R,2208,R,904,R,1304,R,17,R,7,R,10,R,84,R,31,R,53,R,60,R,23,R,37,R,787,R,315,R,472,Z,0,Z,0,Z,0,R,1154,R,484,R,670,R,79,R,36,R,43,R,27,R,8,R,19,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
222576,59,-2,1,R,247,R,87,R,160,R,3,R,2,R,1,R,4,R,2,R,2,R,24,R,12,R,12,R,83,R,30,R,53,Z,0,Z,0,Z,0,R,124,R,41,R,83,R,8,Z,0,R,8,R,1,Z,0,R,1,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
