UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW ,YEAR,GRNRALW
222831,2,12,1,1,999,R,1254,R,577.0,R,677.0,R,2.0,R,0.0,R,2.0,R,9.0,R,5.0,R,4.0,R,109.0,R,59.0,R,50.0,R,429.0,R,193.0,R,236.0,R,4.0,R,2.0,R,2.0,R,629.0,R,282.0,R,347.0,R,46.0,R,21.0,R,25.0,R,0.0,R,0.0,R,0.0,R,26.0,R,15.0,R,11.0,2020,
222831,3,13,1,1,999,R,537,R,211.0,R,326.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,28.0,R,10.0,R,18.0,R,167.0,R,64.0,R,103.0,R,0.0,R,0.0,R,0.0,R,318.0,R,125.0,R,193.0,R,12.0,R,5.0,R,7.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,2020,
222831,4,20,1,1,999,R,398,R,184.0,R,214.0,R,2.0,R,0.0,R,2.0,R,2.0,R,1.0,R,1.0,R,59.0,R,36.0,R,23.0,R,136.0,R,62.0,R,74.0,R,2.0,R,1.0,R,1.0,R,175.0,R,72.0,R,103.0,R,18.0,R,8.0,R,10.0,R,0.0,R,0.0,R,0.0,R,4.0,R,4.0,R,0.0,2020,
222831,6,10,2,2,10 ,R,1256,R,579.0,R,677.0,R,2.0,R,0.0,R,2.0,R,9.0,R,5.0,R,4.0,R,110.0,R,60.0,R,50.0,R,429.0,R,193.0,R,236.0,R,4.0,R,2.0,R,2.0,R,630.0,R,283.0,R,347.0,R,46.0,R,21.0,R,25.0,R,0.0,R,0.0,R,0.0,R,26.0,R,15.0,R,11.0,2020,
222831,7,11,2,2,45 ,R,2,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2020,
222831,8,12,2,2,50 ,R,1254,R,577.0,R,677.0,R,2.0,R,0.0,R,2.0,R,9.0,R,5.0,R,4.0,R,109.0,R,59.0,R,50.0,R,429.0,R,193.0,R,236.0,R,4.0,R,2.0,R,2.0,R,629.0,R,282.0,R,347.0,R,46.0,R,21.0,R,25.0,R,0.0,R,0.0,R,0.0,R,26.0,R,15.0,R,11.0,2020,
222831,9,13,2,2,29A,R,537,R,211.0,R,326.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,28.0,R,10.0,R,18.0,R,167.0,R,64.0,R,103.0,R,0.0,R,0.0,R,0.0,R,318.0,R,125.0,R,193.0,R,12.0,R,5.0,R,7.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,2020,
222831,12,16,2,2,18A,R,537,R,211.0,R,326.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,28.0,R,10.0,R,18.0,R,167.0,R,64.0,R,103.0,R,0.0,R,0.0,R,0.0,R,318.0,R,125.0,R,193.0,R,12.0,R,5.0,R,7.0,R,0.0,R,0.0,R,0.0,R,6.0,R,3.0,R,3.0,2020,
222831,13,17,2,2,19 ,R,389,R,130.0,R,259.0,R,0.0,R,0.0,R,0.0,R,5.0,R,3.0,R,2.0,R,20.0,R,4.0,R,16.0,R,102.0,R,35.0,R,67.0,R,0.0,R,0.0,R,0.0,R,248.0,R,82.0,R,166.0,R,10.0,R,4.0,R,6.0,R,0.0,R,0.0,R,0.0,R,4.0,R,2.0,R,2.0,2020,
222831,14,18,2,2,20 ,R,105,R,56.0,R,49.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,5.0,R,3.0,R,2.0,R,45.0,R,21.0,R,24.0,R,0.0,R,0.0,R,0.0,R,52.0,R,30.0,R,22.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,2020,
